method,workflow,dataset,budget_iter,budget,total_candidates,total_emissions,time,auc,recall,memory
pesm,top1,synthetic10K,8,69640.0,10988.0,10988.0,14.563376426696776,0.2981742851932399,0.55807007466973,56.79680000000008
pesm,top1,synthetic10K,5,43525.0,10976.0,10976.0,18.354469776153564,0.2980487790328858,0.554508902929351,54.07030000000009
pesm,top1,synthetic10K,2,17410.0,10970.0,10970.0,17.805825233459473,0.2975726565640049,0.5577254451464676,58.10160000000008
pesm,top1,synthetic10K,7,60935.0,10976.0,10976.0,15.401433944702148,0.2970962678635067,0.5549684089603676,54.51560000000006
pesm,top1,synthetic10K,3,26115.0,10996.0,10996.0,19.597690105438232,0.2980409100137323,0.55807007466973,57.070299999999975
pesm,top1,synthetic10K,10,87050.0,10972.0,10972.0,15.106626510620115,0.2968515744326321,0.555887421022401,57.2695
pesm,top1,synthetic10K,1,8705.0,8705.0,8705.0,14.687553644180298,0.2489867419631645,0.422400919012062,56.38670000000002
pesm,top1,synthetic10K,6,52230.0,10971.0,10971.0,15.296179056167604,0.2979939747418268,0.5581849511774842,57.58590000000004
pesm,top1,synthetic50K,9,387639.0,46160.0,46160.0,759.8516376018524,0.2751513803489382,0.538227577720508,147.7187
pesm,top1,synthetic50K,7,301497.0,46178.0,46178.0,658.4853043556213,0.2756315532257714,0.5388312321515637,147.75390000000004
pesm,top1,synthetic50K,10,430710.0,46172.0,46172.0,1112.3954412937164,0.2755496880749952,0.5385294049360358,144.94920000000002
pesm,top1,synthetic50K,4,172284.0,46139.0,46139.0,1037.4538099765778,0.2753650898114356,0.5380882728518028,150.73440000000005
pesm,top1,synthetic50K,2,86142.0,46164.0,46164.0,774.7885842323303,0.2752801146740727,0.5387383622390935,144.82029999999995
pesm,top1,synthetic50K,3,129213.0,46160.0,46160.0,1210.2845356464386,0.2751336663400999,0.5385294049360358,147.03520000000003
pesm,top1,synthetic50K,1,43071.0,43071.0,43071.0,1110.6499087810516,0.2579831405402931,0.4952055907687307,147.83210000000008
pesm,top1,synthetic50K,8,344568.0,46196.0,46196.0,743.2638146877289,0.275688601027942,0.5388080146734462,147.66409999999996
pesm,top1,synthetic50K,5,215355.0,46185.0,46185.0,759.526513338089,0.2752761698311013,0.5390866244108565,153.7265
pesm,top1,synthetic50K,6,258426.0,46162.0,46162.0,1045.1334307193756,0.2754134411186808,0.538715144760976,145.82809999999995
pesm,top2,ABTBUY,6,6510.0,2196.0,2196.0,5.240499019622803,0.3030097598526677,0.5972350230414747,24.14059999999995
pesm,top2,ABTBUY,2,2170.0,2170.0,2170.0,5.465144872665405,0.3013667807950194,0.5953917050691244,24.082
pesm,top2,ABTBUY,4,4340.0,2199.0,2199.0,5.192050218582153,0.3039497276916642,0.6,24.08979999999997
pesm,top2,ABTBUY,7,7595.0,2190.0,2190.0,4.666949510574341,0.3006694752517115,0.5972350230414747,23.980500000000006
pesm,top2,ABTBUY,10,10850.0,2189.0,2189.0,5.701956033706665,0.3044395345411685,0.6009216589861751,23.906299999999987
pesm,top2,ABTBUY,9,9765.0,2206.0,2206.0,4.653445243835449,0.3039549485403583,0.6018433179723502,23.968799999999987
pesm,top2,ABTBUY,5,5425.0,2203.0,2203.0,4.309947967529297,0.3009011683825788,0.5944700460829493,24.1368
pesm,top2,ABTBUY,3,3255.0,2189.0,2189.0,4.534884929656982,0.3025082591587233,0.6018433179723502,24.023500000000013
pesm,top2,ABTBUY,8,8680.0,2196.0,2196.0,5.302588939666748,0.3032308405471217,0.5963133640552996,24.082
pesm,top2,ABTBUY,1,1085.0,1085.0,1085.0,4.071207046508789,0.1590073919426987,0.2894009216589862,24.761699999999905
pesm,top2,CDDB,2,6000.0,6000.0,6000.0,23.54791283607483,0.4631961339776479,0.4833333333333333,104.125
pesm,top2,CDDB,8,24000.0,18486.0,18486.0,29.94668316841125,0.6395075819043298,0.75,87.98440000000005
